t,q1,q2,q3,q4,q5,q6,qd6,qdd6,qd5,qdd5,qd4,qdd4,qd3,qdd3,qd2,qdd2,qd1,qdd1
0.96,0.0,0.0,0.7160859220691641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36835310124707465,1.4,0.0,0.0,0.0,0.0
0.968,0.0,0.0,0.7285353344741525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35715310124707456,1.4,0.0,0.0,0.0,0.0
0.976,0.0,0.0,0.7409847468791407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3459531012470747,1.4,0.0,0.0,0.0,0.0
0.984,0.0,0.0,0.753434159284129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3347531012470746,1.4,0.0,0.0,0.0,0.0
0.992,0.0,0.0,0.7658835716891175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3235531012470747,1.4,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.7783329840941057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3123531012470746,1.4,0.0,0.0,0.0,0.0
1.008,0.0,0.0,0.7907823964990939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011531012470745,1.4,0.0,0.0,0.0,0.0
1.016,0.0,0.0,0.8032318089040823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28995310124707463,1.4,0.0,0.0,0.0,0.0
1.024,0.0,0.0,0.8156812213090705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27875310124707453,1.4,0.0,0.0,0.0,0.0
1.032,0.0,0.0,0.8281306337140588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26755310124707465,1.4,0.0,0.0,0.0,0.0
1.04,0.0,0.0,0.8405800461190472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25635310124707456,1.4,0.0,0.0,0.0,0.0
1.048,0.0,0.0,0.8530294585240354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24515310124707446,1.4,0.0,0.0,0.0,0.0
1.056,0.0,0.0,0.8654788709290239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23395310124707458,1.4,0.0,0.0,0.0,0.0
1.064,0.0,0.0,0.8779282833340121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22275310124707448,1.4,0.0,0.0,0.0,0.0
1.072,0.0,0.0,0.8903776957390004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2115531012470746,1.4,0.0,0.0,0.0,0.0
1.08,0.0,0.0,0.9028271081439888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003531012470745,1.4,0.0,0.0,0.0,0.0
1.088,0.0,0.0,0.915276520548977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891531012470744,1.4,0.0,0.0,0.0,0.0
1.096,0.0,0.0,0.9277259329539653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17795310124707453,1.4,0.0,0.0,0.0,0.0
1.104,0.0,0.0,0.9401753453589536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16675310124707443,1.4,0.0,0.0,0.0,0.0
1.112,0.0,0.0,0.952624757763942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15555310124707455,1.4,0.0,0.0,0.0,0.0
1.12,0.0,0.0,0.9650741701689303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14435310124707446,1.4,0.0,0.0,0.0,0.0
1.1280000000000001,0.0,0.0,0.9775235825739186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13315310124707436,1.4,0.0,0.0,0.0,0.0
1.1360000000000001,0.0,0.0,0.9899729949789069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12195310124707448,1.4,0.0,0.0,0.0,0.0
1.1440000000000001,0.0,0.0,1.0024224073838952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11075310124707438,1.4,0.0,0.0,0.0,0.0
1.1520000000000001,0.0,0.0,1.0148718197888835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995531012470745,1.4,0.0,0.0,0.0,0.0
1.16,0.0,0.0,1.0273212321938714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08835310124707463,1.4,0.0,0.0,0.0,0.0
1.168,0.0,0.0,1.03977064459886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07715310124707475,1.4,0.0,0.0,0.0,0.0
1.176,0.0,0.0,1.052220057003848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06595310124707465,1.4,0.0,0.0,0.0,0.0
1.184,0.0,0.0,1.0646694694088363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054753101247074776,1.4,0.0,0.0,0.0,0.0
1.192,0.0,0.0,1.0771188818138246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04355310124707468,1.4,0.0,0.0,0.0,0.0
1.2,0.0,0.0,1.0895682942188132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03235310124707458,1.4,0.0,0.0,0.0,0.0
1.208,0.0,0.0,1.1020177066238013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211531012470747,1.4,0.0,0.0,0.0,0.0
1.216,0.0,0.0,1.1144671190287896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009953101247074603,1.4,0.0,0.0,0.0,0.0
